user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
randall jr Benoit,5 days ago,1566305948745,I wish i could spend 1 hour for singing lessons with ed! That would be LiT!,0,false,0,,,,,
Otoshi The Kid,1 week ago,1566133148750,"Bruh, I used to watch this when it was at 300k views, wtf happened?",1,false,0,,,,,
CHRISTOPHER XIONG,2 weeks ago,1565528348752,start my day with ed‘s voice,0,false,0,,,,,
Tzuyu2k,2 weeks ago,1565528348755,vgod unboxing,0,false,0,,,,,
True Blue,2 weeks ago,1565528348758,"Goosebumps all the way through, 1 word...WOW",0,false,0,,,,,
Danile Manobo,2 weeks ago,1565528348760,This guy is worth every data... hes just phenomenal ❤😭,0,false,0,,,,,
Stephanie Nicole,2 weeks ago,1565528348770,between him and Brendon Urie - who has more insane lung capacity? talent. pure talent.,0,false,0,,,,,
Finn Peall,2 weeks ago,1565528348772,Went to the same school as him,1,false,0,,,,,
Jiali He,3 weeks ago,1564923548775,The best crowd!,0,false,0,,,,,
Adam Burdette,3 weeks ago,1564923548777,One of the most talented guys in this generation!,0,false,0,,,,,
Aaron B,3 weeks ago,1564923548779,"30th July 2014, 5 years later I accidentally watch it on its anniversary haha",1,false,0,,,,,
Sara Frich,4 weeks ago,1564318748782,Best Ed performance ever!!!,1,false,0,,,,,
Dreamer B,1 month ago,1564059548784,Love this Shit xD,1,false,0,,,,,
Jennifer Jarvis,1 month ago,1564059548787,Who's the dude hunkered down behind Ed distractin' us? Lol,0,false,0,,,,,
Jack Budge,1 month ago,1564059548790,"Give er shit bro, A fan from Canada! Cheers! If your ever in Ottawa come and chill man . 613) 704-0272 Jack!",0,false,0,,,,,
Michael Edlin,1 month ago,1564059548792,"21 year old Ed Sheeran fanboy! 
He's just so damn! And that crowd at the end, weirdly gave me chills? 
Mrs Jane",1,false,0,,,,,
Darkness,1 month ago,1564059548794,"Ask Jamie Foxx about how Ed Sheeran started out in the US.... sleeping on Foxx's couch. Later taking him to perform to an all-black crowd of 800..
""He went up there on that ukulele and got a standing ovation in 12 minutes.""  https://youtu.be/SiS_uAjBu3w?t=44",2,false,0,,,,,
Captain Stajze Outdoors,1 month ago,1564059548797,Did everyone in the crowd have to audition to attend this performance?! Damn!,1,false,0,,,,,
Michael A.,1 month ago,1564059548799,"Ed: ""I'm gonna do this thing where I split the room in half""
begins talking about controversial political issues",4,false,0,,,,,
Seán 97,1 month ago,1564059548801,And it was the first live performance of Nina and all Jesus Christ,1,false,0,,,,,
Harshavardhan Thyagarajan,1 month ago,1564059549462,The essential ed,0,false,0,,,,,
MrEjbelty,1 month ago,1564059549465,"does he play this in standard tuning?  i have to use my capo on the second to do this, but he's not using one.....?",0,false,0,,,,,
Susan Merriman,1 month ago,1564059549468,Oh! What I’d give for a time machine so I could go to that gig 🎶👏🏻💔🎶👏🏻🎶💔🎶💔,0,false,0,,,,,
chno capili,1 month ago,1564059549470,trading my left testicle for half of ed sheerans talent,0,false,0,,,,,
Anne Macleod,1 month ago,1564059549473,"Fun Ed, fun crowd...singing rounds like we’re back in school. I was entertained, thanks 🤗🤗",0,false,0,,,,,
Lily K,1 month ago,1564059549476,Always wished to be in that very room at this very time surrounded by this very atmosphere... Congrats man!,1,false,0,,,,,
Алексей Митрофанов,1 month ago,1564059549478,восхищаюсь,0,false,0,,,,,
Aommao hctibad,1 month ago,1564059549486,I LOVE THIS FOREVER OF MY LIFE!,0,false,0,,,,,
anurag banerjee,1 month ago,1564059549488,Who’s here in 2019??😂,2,false,0,,,,,
Susadl,1 month ago,1564059549491,my heart...,0,false,0,,,,,
Наталья Я,1 month ago,1564059549494,Фильмса́хара,0,false,0,,,,,
Eleftheria P.,1 month ago,1564059549496,The interaction I'm crying in a cool way,1,false,0,,,,,
Robert Price,1 month ago,1564059549499,"This is on my morning run to work every morning. Love his energy, love of music, beat, tune..... fuck it ! I love everything.....",1,false,0,,,,,
Dariel Morales,1 month ago,1564059549502,This man is bad .talento puro,0,false,0,,,,,
Moto Moto,1 month ago,1564059549504,He is one of the best talents out there today.,0,false,0,,,,,
Why Sky Is Black,1 month ago,1564059549507,I'D LOVE TO WATCH THE AUDIENCE TOO THEY ARE SO SUPPORTIVE AND COOL,0,false,0,,,,,
Bobbie La,1 month ago,1564059549509,His smile when he is singing 😍😍😍😍,1,false,0,,,,,
Eracer x30,2 months ago,1561467549512,Epic,0,false,0,,,,,
Jess Z,2 months ago,1561467549514,what chords are he using?,0,false,0,,,,,
Sam DuBois,2 months ago,1561467549517,d o p e,0,false,0,,,,,
bella,2 months ago,1561467550251,"8:28 ...... magical shit starts going down. 

every person at an Ed Sheeran gig feels like a musician even if it’s just for a moment",2,false,0,,,,,
Sara Gomez,2 months ago,1561467550253,Me encanto👏🎶,0,false,0,,,,,
sadam bakuku,2 months ago,1561467550254,Crowd 1 Ed 1,0,false,0,,,,,
ejc sar,2 months ago,1561467550256,very bad songat,0,false,0,,,,,
ejc sar,2 months ago,1561467550258,رثقغ لاشي سخىب,0,false,0,,,,,
Archi Archi,2 months ago,1561467550260,2019 and still here,1,false,0,,,,,
richie renaud,2 months ago,1561467550262,Fucking banger,0,false,0,,,,,
plutonianextract,2 months ago,1561467550264,He... got bored with the guitar and started playing the audience... brilliant,1,false,0,,,,,
Alex Colon,2 months ago,1561467550265,Can’t believe I seen this dude walking on my street a couple of years back...,0,false,0,,,,,
ainhoa18,2 months ago,1561467550267,but how can be a person this talented?! HE IS AMAZING.,0,false,0,,,,,
ainhoa18,2 months ago,1561467550269,"I wish I could see him in a small venue like this... that would be awesome. By saying this I’m still so grateful that I have been able to see him live,  but in a really big stadium, and I couldn’t be happier.",0,false,0,,,,,
Random Person,2 months ago,1561467550271,"Most people will say he is talented, it is true but all of his success wasn't just because of his talent, but it was due to his dedication and hardwork so proud of your ED God bless you. 🤘✌️",2,false,0,,,,,
Moehren Gruen,2 months ago,1561467550272,He played that version a few years ago in Frankfurt..One of my favourites -,1,false,0,,,,,
Queen Blondee,2 months ago,1561467550274,epic crowd,1,false,0,,,,,
