user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Emanuel Vitor,14 hours ago,1566687908453,Minha bateria desceu 2% nesse vídeo,0,false,0,,,,,
merda viva,1 day ago,1566651908456,Eu desinstalei um negócio de 2 MB e começou a descarregar rápido alguém me ajuda pfv,0,false,0,,,,,
Jana Duim,1 week ago,1566133508459,Dicas muito boas +1 inscrito,1,true,1,,,,,
,,,,,,,Me ensinou,6 days ago,1566219908930,Valeu Jana ! Muito obrigado!,0
Breno Araujo,1 week ago,1566133508463,O meu descarregar nos 40,0,false,0,,,,,
Joao Alves dá Silva filho,1 week ago,1566133508465,Me manda o nome da música do vídeo,1,false,0,,,,,
Joao Alves dá Silva filho,1 week ago,1566133508468,Parabéns pelo vídeo!!,2,true,1,,,,,
,,,,,,,Me ensinou,6 days ago,1566219908968,Muito obrigado João !! Abraço,0
LOUD LEANDRO,2 weeks ago,1565528708471,Me ajuda me celular diz que tem 1 dia restante kkkk,0,false,0,,,,,
Mateus De deus,2 weeks ago,1565528708474,Vlw mano,1,false,0,,,,,
maria flaviana,3 weeks ago,1564923908477,A o dele tá em 58% é só descarregar em 6 hora mano o meu ele tá 61 daqui a três horas descarregar,1,true,1,,,,,
,,,,,,,Me ensinou,6 days ago,1566219908887,"Então, tem três opções nesse caso, ou seu consumo tá alto e voce deve diminuir o brilho por exemplo ou fechar alguns apps, ou sua bateria está viciada , ou seu celular é antigo e a bateria é de curta duração mesmo",0
AlexPhGames,3 weeks ago,1564923908481,"O meu fica em primeiro os ""APPS"" e ta gastando quase 50% oq eu tenho q fazer? Não aparece nem um aplicativo só aparece o nome e não dá para abrir",0,false,0,,,,,
Joyce Michelle,3 weeks ago,1564923908484,"O meu descarrega 1% de 10 em 10 segundos, af",1,true,1,,,,,
,,,,,,,Me ensinou,2 weeks ago,1565528708960,"Pode ser problema na bateria ou no consumo, as dicas diminuíram um pouco o descarregamento rápido?",0
Vídeos da Ester Silva,3 weeks ago,1564923908487,Obrgdah resolveu meu problema! amei muito o canal ... agora alguém por favor poderia me falar o nome da música q tocou ?,1,false,0,,,,,
Marcio Romanin Paiva,3 weeks ago,1564923908491,"Tenho 3 celulares. O pior é o moto E que descarrega 1% por minuto. Eu tô achando que é o carregador paralelo que tá viciando a bateria. Quando ele descarrega de vez, eu coloco no carregador e a tela fica acendendo e apagando, acendendo e apagando, acendendo e apagando. Não sai do 0%. Aí eu fico colocando e tirando até começar a pegar carga. As vezes eu deixo no carregador quando saio pra trabalhar e quando volto ele ainda tá em 60%. 
Esse que eu tô usando agora é um moto G2. Peguei ele semi novo porém zerado, bateria durando muito, mas depois de carregar umas 3 vezes ele começou a apresentar o mesmo problema. 
Não aguento mais gastar dinheiro com celular, mano.",0,false,0,,,,,
Cassia Cardozo,3 weeks ago,1564923908495,"Valeu! Dei um ""curti!"". Resolveu meu pb.",3,false,0,,,,,
Thagila Silva,3 weeks ago,1564923908500,Eu coloquei pra careca ontem anoite e comecei a meche 10:40 já e 11:50 tá 9%,0,false,0,,,,,
Luiz Felipe,1 month ago,1564059908503,O meu em 100% mostra que tem apenas 1 hora restante,0,false,0,,,,,
GUI GUI,1 month ago,1564059908506,"Acordei:100 
Peguei o Cell:50
Entrei no ff:25
Começei uma partida:estro preocupando o carregador",0,false,0,,,,,
Ruperfol Cobra 19,1 month ago,1564059908509,Namoral Cell da Samsung e até bom mais ea bateria que não ajuda meu primo tem um Cell da Samsung que tem 5.000 mah e meu irmão o moto g7 Power que tem 5.000 tmb o do meu primo descarrega como água e é novo o do meu irmão tmb,0,false,0,,,,,
Hannah Naila,1 month ago,1564059908512,Meu celular descarrega muito rápido o que fazer,0,false,0,,,,,
Li,1 month ago,1564059908514,Olá o meu coloco pra recarregar da 100% aí na hora que eu pego pra ver a hora já tá no 89% o que faço?,0,false,0,,,,,
play funk,1 month ago,1564059909797,Não conseguir ver o video por que meu celular descarregou,0,false,0,,,,,
GABRIEL GALÁCTICO RODRIGUES,1 month ago,1564059909800,Acordei 100% coloquei a senha  42% abri o free fire 15%  apertei  inicia  8% coloquei em duo 2% chamei um amigo  falai pra  ele meda um presente ele falo que ia meda uma mascara da cavera ai o celula  descarrego,0,false,0,,,,,
Mateus Mateus,1 month ago,1564059909804,Meu maio problema e travamento que consegue ser pior que a bateria,0,false,0,,,,,
Jairo allan,1 month ago,1564059909806,eu ja tenho é medo de pegar meu cllr a cada milésimo ele descarrega naaam...,0,false,0,,,,,
Geladeira Ferro,1 month ago,1564059909810,Eu amo moto g,2,false,0,,,,,
juliana matias 987314554,1 month ago,1564059909813,Manooh isso funciona o celular da minha irman descarrega 1% por minuto,0,false,0,,,,,
AKT RIOS,1 month ago,1564059909817,"o meu celular dura 20 horas ligado,ta viciado😪",1,true,1,,,,,
,,,,,,,Me ensinou,1 month ago,1564059910173,"20 horas é um tempo bom, seu celular é novo? Acredito que não esteja viciado",0
Arkansas Fps,1 month ago,1564059909821,Em menos de 1 minuto meu celular descarregou 10% 😓,2,false,0,,,,,
Gabriel Santos,1 month ago,1564059909824,Meu celular descarrega muito rápido chega um por cento demora muito para descarregar tem como resolver?,1,false,0,,,,,
louca pela mia ursinha,1 month ago,1564059909828,O sistema Android gasta 42%,1,true,1,,,,,
,,,,,,,Me ensinou,1 month ago,1564059910159,"Está normal, com o sistema Android não tem muito o que fazer",0
Misael MVS,1 month ago,1564059909833,Esse e o meu caso kkkk,1,false,0,,,,,
Larissa Oliver,1 month ago,1564059909835,Obs: estou comentando esse comentário de 19:58 meu celular está em 20%! Mais eu tinha carregado ele umas 15:00 da tarde e nem usei direito! Descarregou sozinho😶,1,false,0,,,,,
Nilldo Sillva o boyzinho,1 month ago,1564059909838,Diminuir pra 56 antes de terminar o video,0,false,0,,,,,
• Meli Pinkie Dream •,1 month ago,1564059909842,O meu chega a 77% desliga e se eu ligo de novo (reinicia) ele desliga 3 segundos depois;------;,2,true,2,,,,,
,,,,,,,Diogo Melo,1 month ago,1564059910199,O meu tbm faz isso não sei como resolver,0
,,,,,,,Me ensinou,1 month ago,1564059910200,"Então, sua bateria está viciada por ele está desligando em 77%. O que você deve fazer é levar em uma assistência para trocar a bateria. O vídeo vai te ajudar a reduzir o consumo e a bateria dura um pouco mais",0
• Meli Pinkie Dream •,1 month ago,1564059909846,"Men, eu só queria ver se tinha comentário falando que funciona;-;",3,true,1,,,,,
,,,,,,,Me ensinou,1 month ago,1564059910179,"O vídeo ajuda bastante a reduzir o consumo e aumentar o tempo da bateria, mas se estiver desligando cedo deve levar a uma assistência",0
• Meli Pinkie Dream •,1 month ago,1564059909850,Vendo esse video: 31% no carregador ainda por cima,2,false,0,,,,,
Jane Cleia,1 month ago,1564059909853,Cara meu celula tem só 1 dia de uso e ele está descarregando muito rápido,0,false,0,,,,,
Dark_ Mendes,1 month ago,1564059909857,Pena que só meu é Samsung,1,true,2,,,,,
,,,,,,,Me ensinou,1 month ago,1564059910207,"Também funciona, o que muda é só o caminho pra chegar nas configurações da bateria",0
,,,,,,,Dark_ Mendes,1 month ago,1564059910209,Cara vc não entende no momento que pego  no celular descarrega vou tentar .......,0
Ana Paula Delatorre,1 month ago,1564059909861,Inferno fala logo !!,0,false,0,,,,,
Juliana Barboza,1 month ago,1564059909864,So eu que tô assistindo o vídeo e pensando que vai ter que botar o celular no carregamento e só de lembrar da demora já dar uma agonia,16,true,1,,,,,
,,,,,,,Eduardo Dos Anjos ϟ,1 month ago,1564059910183,Tmj kkk,1
Tio Zam,2 months ago,1561467911009,"Mano me ajuda, eu fui nas configurações dps em bateria e eu vi q a tela está consumindo 738% da bateria, como assim vey? Me ajuda pfv meu cell descarrega muita rápido e demora uma eternidade pra carregar",1,true,2,,,,,
,,,,,,,Me ensinou,1 month ago,1564059911415,"Caramba, o que você deve fazer é botar o brilho no automático e reduzir ele ao máximo além de usar plano de fundo escuro também e acompanhe o consumo da tela",0
,,,,,,,Tio Zam,1 month ago,1564059911417,"@Me ensinou mn eu reduzi o brilho no máximo e o brilho ta no automático, eu n sei oq ta acontecendo",0
Kbraw F,2 months ago,1561467911014,"tou muito assustado , o meu e um motog 6 e um dia eu dormi sem querer e ele tava na musica quando eu acordei ele tava descarregado e quando eu liguei ele tava 100% e começou a descarregar muito rapido , fui na bateria e tava dizendo la que eu usei muito o celular de modo indevido , mas agora ta passando",0,false,0,,,,,
ĆΔŇΔŁ 100ŇØĆΔØ,2 months ago,1561467911017,Só de assistir esse vídeo meu celular descarregou 10% e fritou +20graus,2,false,0,,,,,
clash royale,2 months ago,1561467911020,Valeu manow a minha tela estava em 19 %,2,false,0,,,,,
King of Hell.,2 months ago,1561467911022,"O meu se desliga rm 36%, tô com medo de desligar antes de eu escrever isso. Quando estou no free fire ele desliga em 54.",0,false,0,,,,,
B4RT2K,2 months ago,1561467911024,O meu chega aos 80% começa a descer rapidin no mínimo uns 5 min e minha bateria é interna,0,false,0,,,,,
Ériikah castro,2 months ago,1561467911026,"Obgd! """"Me Ensinou"""""" muito❤",1,true,1,,,,,
,,,,,,,Me ensinou,2 months ago,1561467911383,De nada ! Muito obrigado pelo reconhecimento!!,0
Schirley Vizani,2 months ago,1561467911030,Troquei a bateria e ele continua descarregado rápido.,1,false,0,,,,,
Fábio Miranda,2 months ago,1561467911034,Meuselula ta ninsem poseto cuando chega sinxueta posento descarega rapido uqueu faso mindis ai,0,false,0,,,,,
ELISANGELA s,2 months ago,1561467911037,O meu n aparecer a bateria n configuração,0,false,0,,,,,
canal da viih santtos,2 months ago,1561467911040,Quando eu uso o celular demora um pouco tá em 50 aí vai descarregar logo 50 do nada,0,false,0,,,,,
Ana Oliveira,2 months ago,1561467911042,"Meu celular faz o seguinte:
Vou ver a carga dele no carregador tá em 45% ,passo uns 2 minutos e vou ver de novo tá em 100% , aí ele descarrega em exatamente 45%",1,true,6,,,,,
,,,,,,,SAO RAIMUNDO MIL GRAU,2 months ago,1561467911480,"TAVA  com  25% de bateria  ai do nada descarregou  , e foi carregar tava  com 9% ai quando  liguei  TAVA  com 75% e quando usei quando ficou com 64% meu celular  descarrega novamente",1
,,,,,,,King of Hell.,2 months ago,1561467911481,Ana é exatamente o meu!,1
,,,,,,,King of Hell.,2 months ago,1561467911483,"O meu diz que tá em 45% ou por aí tipo 38, e quando ligo ele está em 100 ou 95. E descarrega rápido.",1
,,,,,,,Ana Oliveira,2 months ago,1561467911484,Isso me atrapalha muito mano,0
,,,,,,,King of Hell.,2 months ago,1561467911486,"@Ana Oliveira não sei como mas disse que tava em 76 e quando liguei tava mesmo kk, melhor q se tivesse em 100.",0
,,,,,,,King of Hell.,2 months ago,1561467911488,@Ana Oliveira só carregou normal depois que eu baixei o app Greenify.,0
Kaiq free fire,2 months ago,1561467911045,"Tirei o celular da tomada 100

Liguei ele 80

Fui no Facebook  50

Dei like numa foto 15

Cliquei na foto 0",0,false,0,,,,,
Vii GomezOfficial,2 months ago,1561467911047,O meu estava carregando por uma hora e do nada não saia do 50% e coloquei de novo e ficou 37%,2,false,0,,,,,
Lucas Silva,2 months ago,1561467911049,"Ñ consigo assistir o video todo.
Cel descarrega. Aff",2,false,0,,,,,
